Customer_ID,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6
1007727,165.97,180.84,145.85,20.20,16.52,
1013989,129.20,189.21,98.14,1.05,1.39,0.24
1014544,126.41,153.14,,74.03,106.53,
1022560,150.60,259.20,96.72,28.28,21.34,
1026878,215.30,70.25,368.51,44.02,39.03,
1031705,240.94,1643.35,237.51,62.29,45.11,
1035859,458.48,1786.12,304.52,105.83,93.85,
1042497,282.84,106.35,398.14,70.46,55.37,
1043047,183.24,57.68,36.88,1.60,1.88,9.13
1050287,76.05,77.83,,,,
1053337,161.37,83.90,333.78,39.37,29.70,52.36
1056796,150.21,62.30,27.34,9.26,12.28,
1058865,192.81,1083.63,205.67,41.80,60.15,26.92
1058901,249.72,99.78,,49.06,43.51,
1060912,101.55,54.08,267.23,106.89,102.70,
1063624,296.84,102.67,342.32,46.88,41.57,
1069453,138.68,110.40,152.69,81.16,69.13,
1069503,225.87,98.23,320.09,45.37,31.53,
1091469,251.05,106.75,297.45,,,
1091962,160.07,70.81,,0.71,0.51,
1105063,414.04,1288.31,247.03,78.84,69.92,
1105668,189.28,47.90,35.87,3.73,3.06,2.98
1106649,201.82,250.90,,4.85,5.47,
1108380,182.05,184.72,42.16,5.18,7.78,9.56
1108600,323.74,97.96,,66.30,52.09,
1112405,225.21,286.73,40.84,1.56,1.76,
1113428,119.99,114.26,225.51,98.64,87.48,
1115659,76.51,83.36,233.67,60.96,91.45,
1117978,237.34,90.75,234.20,39.93,57.46,
1122752,144.38,43.76,38.52,5.16,6.30,
1124647,162.28,28.57,,12.77,8.51,
1130109,155.87,83.57,,44.28,32.06,29.75
1136239,283.61,141.14,345.91,52.82,39.85,
1144442,168.18,58.60,44.87,7.75,8.40,
1145873,187.58,45.38,,0.97,1.33,2.81
1148340,148.80,223.20,162.85,9.32,9.71,24.98
1152057,155.03,49.04,53.94,4.51,3.26,2.22
1155280,163.26,,,,,
1159535,201.16,99.38,,46.17,61.21,
1160262,195.55,66.08,19.75,8.49,11.72,6.79
1163835,207.30,242.89,130.65,22.39,16.21,
1168421,156.56,130.46,227.65,113.88,79.14,
1168670,259.70,136.88,531.81,73.88,55.73,54.24
1173474,183.89,78.12,164.56,43.04,35.22,
1173807,378.28,1142.92,264.29,12.90,13.42,71.42
1175824,172.65,104.44,148.24,88.97,59.32,
1180807,196.80,81.31,,25.19,18.24,32.18
1186378,112.44,55.58,,70.41,89.61,
1201311,251.53,91.50,368.29,45.74,43.94,46.61
1206046,153.66,42.55,,10.88,10.05,
1208862,2652.89,1173.36,3321.68,236.35,245.99,
1210044,154.96,129.72,171.16,71.59,91.12,
1212017,198.86,97.75,326.60,35.68,40.24,34.42
1216719,244.79,101.12,297.37,43.12,29.96,35.60
1216912,219.66,83.96,344.73,32.11,30.86,30.70
1227766,146.16,110.38,217.24,122.53,108.65,
1229012,242.71,88.13,313.65,57.56,41.68,46.74
1229372,213.95,105.55,297.64,19.56,25.93,57.13
1237304,126.86,64.46,251.75,22.06,29.24,
1239154,194.66,43.00,29.06,2.38,2.11,
1245070,325.56,151.25,427.16,35.87,30.56,82.43
1247901,309.17,1637.80,242.45,21.47,22.35,
1250092,283.66,1126.41,,2.41,1.60,
1253021,177.52,1225.74,360.80,66.66,78.25,8.50
1254442,173.82,57.87,44.48,9.38,9.77,1.36
1262558,185.52,73.43,220.80,20.90,15.76,48.81
1262615,164.91,201.78,,102.52,98.49,
1264653,140.62,155.50,141.07,6.54,4.36,22.12
1272575,174.75,67.28,44.80,7.41,6.07,5.75
1273441,141.68,177.83,41.46,9.70,12.86,
1273791,149.58,44.58,,,,10.17
1284541,143.39,42.99,28.57,7.39,10.64,
1286174,128.93,125.66,130.98,65.14,82.91,58.95
1286935,122.37,133.73,253.43,75.91,75.91,
1294894,70.80,144.51,238.16,77.82,111.98,93.19
1295845,70.85,64.25,144.62,89.24,79.14,
1299125,148.96,187.59,127.26,18.90,13.68,19.08
1305534,199.60,96.09,369.16,43.31,64.96,
1312378,120.85,75.22,188.43,87.48,94.78,159.03
1312553,1199.63,631.44,,850.35,754.08,
1313043,132.44,117.92,205.63,54.71,78.73,72.57
1319752,103.00,181.94,103.47,3.44,2.70,
1322052,134.53,173.46,146.70,4.71,5.75,
1323094,166.29,228.87,100.00,6.38,8.11,
1325361,211.84,129.49,,54.29,63.74,
1328350,531.92,,355.02,69.95,69.95,55.21
1331516,127.84,215.25,56.43,11.95,11.95,1.57
1333803,148.25,106.17,197.08,81.96,122.94,117.82
1339521,151.17,162.48,45.47,19.71,18.94,
1342656,186.22,44.37,19.53,2.89,4.00,
1350695,302.43,632.19,87.04,53.22,47.19,10.76
1354498,199.70,1193.92,281.20,70.92,68.13,47.13
1356710,151.03,88.68,303.47,23.61,35.42,44.49
1363132,323.65,117.22,445.32,51.22,35.59,57.21
1363267,106.63,75.10,220.02,92.51,92.51,
1365546,214.88,,91.99,7.45,8.75,1.86
1376612,154.51,43.58,14.60,7.17,5.87,3.63
1386093,469.23,1435.13,,19.14,25.37,
1386431,168.50,88.26,,48.12,32.08,
1389745,58.91,75.84,,,,
1394458,339.98,116.73,304.13,32.74,40.01,58.88
1394875,2582.99,14285.15,1101.12,177.31,199.95,
1401383,264.90,93.76,381.92,32.06,34.74,28.52
1415776,118.43,133.75,199.55,95.03,120.95,
1432835,106.19,71.58,213.04,58.91,81.35,
1434620,213.78,216.05,167.76,11.31,11.78,27.75
1438160,311.78,985.46,136.19,19.74,18.96,27.92
1443029,153.31,49.42,16.61,0.44,0.53,
